"['rt_gs_2', 'rt_gs_3', 'rt_gs_4', 'rt_gs_5', 'rt_gs_6', 'rt_gs_7', 'rt_gs_8', 'rt_gs_9', 'rt_gs_10', 'rt_gs_11', 'rt_gs_12', 'rt_gs_13', 'rt_gs_14', 'rt_gs_15', 'rt_gs_16', 'rt_gs_17', 'rt_gs_18', 'rt_gs_19', 'rt_gs_20', 'rt_total', 'gs_1', 'gs_2', 'gs_3', 'gs_4', 'gs_5', 'gs_6', 'gs_7', 'gs_8', 'gs_9', 'gs_10', 'gs_11', 'gs_12', 'gs_13', 'gs_14', 'gs_15', 'gs_16', 'gs_17', 'gs_18', 'gs_19', 'gs_20', 'sum_score', 'gender', 'home_computer', 'state', 'age']"
12,13,16,17,8,6,9,4,14,6,12,23,16,5,9,22,5,7,4,208,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,11,Female,Yes,Mustang  OK,27
28,28,15,12,31,57,30,41,9,41,14,39,11,5,23,19,6,21,5,435,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,New York  United States,43
31,24,14,6,11,29,17,26,25,25,11,24,20,20,7,8,6,8,4,316,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,17,Female,Yes,LAKE MARY  FL,33
20,23,8,12,14,38,12,37,13,17,19,34,17,21,37,22,62,8,27,441,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,No,PA  USA,42
32,46,10,10,22,33,25,35,22,21,13,44,10,5,7,10,6,8,5,364,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,16,Male,Yes,Wheeling  West V irginia United States,30
18,22,8,20,21,38,14,42,8,24,12,34,11,5,9,206,7,8,12,519,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,Yes,Waterford  MI,29
24,16,9,15,14,25,20,45,12,18,12,75,10,5,7,14,8,11,5,345,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,18,Female,No,Missouri  USA,37
189,30,19,14,248,279,13,31,7,16,11,29,9,6,7,10,8,9,5,940,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,Male,Yes,Ohio  USA,35
28,21,17,10,48,38,17,97,16,42,29,47,20,17,20,28,17,29,13,554,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,Troy  Montana,25
23,7,18,15,11,10,15,29,32,27,15,25,11,7,9,17,9,19,6,305,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,14,Male,Yes,Missouri  USA,21
28,21,13,13,17,66,7,253,11,518,17,35,19,5,11,17,9,15,7,1082,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,16,Female,Yes,Cabot  Arkansas,28
21,28,28,12,18,36,12,52,15,25,17,103,8,8,10,20,19,13,6,451,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,16,Male,No,Springfield  MA,42
28,87,16,18,70,88,17,100,14,36,18,54,20,8,11,33,12,21,10,661,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,18,Female,Yes,Michigan  United States,26
19,20,12,10,23,28,12,49,9,32,10,117,7,7,9,35,7,10,7,423,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,18,Male,Yes,Dallas  Tx  USA,33
36,150,19,12,28,62,13,61,33,31,17,51,13,10,10,25,12,26,7,616,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,18,Male,No,Washington State  USA,46
36,29,12,14,21,43,59,78,20,106,36,24,24,21,11,33,18,22,13,620,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,10,Female,Yes,philadelphia  pa,36
16,24,16,11,18,106,6,32,10,22,12,17,11,6,7,9,8,9,5,345,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,17,Female,Yes,lexington  sc,38
24,25,11,11,20,47,27,55,14,41,15,57,12,6,12,17,6,19,7,426,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,18,Male,Yes,CA  USA,31
23,41,14,29,21,70,11,62,16,41,22,41,29,4,13,60,6,18,20,541,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,16,Male,Yes,Uncasville  CT,42
54,46,13,15,13,33,19,46,25,34,14,33,11,13,19,15,7,23,22,455,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,Yes,Michigan  USA,23
30,39,17,17,22,47,14,47,37,28,16,39,38,7,13,38,8,14,10,481,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,No,Muskegon Heights  Michigan,64
18,31,6,31,12,36,8,35,6,41,15,37,10,4,7,13,30,10,5,355,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,17,Male,Yes,Los Angeles  CA,44
16,20,7,11,10,29,15,37,9,39,20,28,7,5,7,17,4,14,6,301,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,18,Female,Yes,Army base Pisa Italy  Livorno Unit highschool,31
68,39,8,187,10,42,10,474,102,913,507,339,10,5,27,10,10,12,5,2778,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,18,Male,Yes,CA  USA,28
38,15,10,11,18,35,14,43,14,17,13,28,12,5,10,13,7,9,14,326,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,18,Male,Yes,AR  USA,32
29,26,21,12,31,48,35,47,39,54,16,60,11,9,13,15,19,13,8,506,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,16,Male,Yes,Queens  N.Y.,30
20,54,7,8,8,27,67,28,8,148,18,39,53,4,7,102,3,7,4,612,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,Yes,Hoffman Estates  IL,39
103,123,20,22,13,109,40,34,10,253,143,10,147,10,32,17,33,86,25,1230,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,15,Male,Yes,Eden  NC,20
24,35,15,17,27,52,16,112,32,32,29,47,17,6,72,22,9,17,7,588,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,16,Female,No,Orange  CA,51
35,31,12,39,20,48,14,68,14,18,19,60,10,7,13,31,17,12,8,476,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,17,Male,Yes,Washington State  USA,29
33,19,11,10,15,479,16,144,13,26,11,40,10,5,12,34,6,9,9,902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,NY  USA,31
18,51,28,26,11,37,70,28,80,13,74,21,10,5,8,21,15,7,7,530,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,12,Female,Yes,Orange  Tx,35
19,36,10,10,11,27,11,58,9,16,10,26,7,4,8,22,8,12,4,308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,San Diego  CA  USA,36
24,28,11,23,15,29,10,52,17,28,18,58,12,4,12,19,10,11,27,408,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,18,Male,Yes,USA  New Jersey,29
72,43,15,31,230,212,189,114,19,34,40,128,130,12,17,147,16,22,18,1489,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,18,Male,No,Rochester  NY,0
24,23,13,11,32,36,14,49,35,29,11,47,14,5,9,25,6,19,6,408,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,18,Male,No,Paramus  NJ,40
11,18,8,14,23,30,13,27,15,51,13,27,40,14,23,68,4,15,4,418,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,13,Male,Yes,Florida  USA,25
19,25,38,16,12,18,23,29,14,18,18,30,23,11,16,18,12,14,11,365,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,12,Female,Yes,Rock Island  IL,26
194,18,13,15,9,86,15,41,13,21,18,52,7,14,8,12,6,14,9,565,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,Yes,Chesterville  Ontario  Canada,33
