"['rt_gs_2', 'rt_gs_3', 'rt_gs_4', 'rt_gs_5', 'rt_gs_6', 'rt_gs_7', 'rt_gs_8', 'rt_gs_9', 'rt_gs_10', 'rt_gs_11', 'rt_gs_12', 'rt_gs_13', 'rt_gs_14', 'rt_gs_15', 'rt_gs_16', 'rt_gs_17', 'rt_gs_18', 'rt_gs_19', 'rt_gs_20', 'rt_total', 'gs_1', 'gs_2', 'gs_3', 'gs_4', 'gs_5', 'gs_6', 'gs_7', 'gs_8', 'gs_9', 'gs_10', 'gs_11', 'gs_12', 'gs_13', 'gs_14', 'gs_15', 'gs_16', 'gs_17', 'gs_18', 'gs_19', 'gs_20', 'sum_score', 'gender', 'home_computer', 'state', 'age']"
21,49,11,12,22,57,14,33,17,38,22,68,20,14,9,24,8,24,10,473,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,17,Male,No,Maryland  USA,32
7,7,12,8,8,8,7,36,8,10,18,25,8,17,9,11,9,10,9,227,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,15,Female,No,US  NY,48
55,48,26,14,29,63,28,96,26,41,20,62,25,7,13,124,15,37,7,736,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,18,Female,No,Iowa  United States,54
29,74,11,36,90,91,17,65,19,21,13,100,43,6,9,80,23,9,7,743,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,17,Female,No,NY  USA,54
17,19,8,6,21,42,10,31,10,15,12,37,8,5,23,9,5,21,6,305,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,Oregon  USA,29
62,22,19,25,21,79,16,47,38,38,16,67,13,7,11,23,12,19,7,542,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,17,Female,No,Henderson  NV,47
52,27,14,14,20,78,24,59,54,41,18,32,30,35,15,26,10,10,7,566,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,18,Female,No,Pennsylvania  USA,54
43,29,12,23,18,56,20,45,19,29,15,33,9,9,11,21,10,15,7,424,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,16,Female,Yes,California  USA,31
16,13,11,6,9,107,110,38,27,19,9,62,5,4,15,10,4,31,3,499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,Florida  USA,43
16,21,12,10,43,44,8,130,17,41,21,63,11,5,12,9,15,24,5,507,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,18,Male,Yes,Henrico  VA  USA,26
33,51,7,7,15,58,10,15,16,26,19,49,13,5,11,17,8,8,5,373,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,18,Male,No,Orange County  California,44
34,40,21,39,12,41,69,31,70,34,66,48,28,31,78,15,16,45,12,730,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,11,Female,Yes,KY  USA,29
68,28,25,8,15,51,59,31,73,36,61,50,37,26,73,16,15,45,19,736,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,12,Male,Yes,VA  USA,34
22,25,14,23,15,48,17,42,14,23,13,86,9,4,9,16,6,8,5,399,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,Utah  USA,29
34,28,13,13,399,429,18,57,24,27,47,40,11,6,9,14,13,49,8,1239,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,No,Paradise  California,34
